LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,CALIDAD_AS,CALIDAD_CD,CALIDAD_CR,CALIDAD_HG,CALIDAD_PB,CALIDAD_MN,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
-102.28801,22.36685,204.92,Alta,532.0,Buena para riego,342.0,Excelente para riego,Potable - Dulce,1.8045,Alta,120.719,Potable - Dura,Potable - Excelente,1.449803,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
-110.2448,23.45138,309.885,Alta,1841.0,Permisible para riego,1179.0,Cultivos con manejo especial,Ligeramente salobres,0.2343,Baja,476.9872,Potable - Dura,Aceptable,15.672251,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
-110.22067,23.46493,224.475,Alta,570.3,Buena para riego,554.8,Cultivos sensibles,Potable - Dulce,0.2756,Baja,201.8784,Potable - Dura,Contaminada,8.55574,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CF,",SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI
-109.907306,22.8905,350.76,Alta,2253.3,Dudosa para riego,1160.2,Cultivos con manejo especial,Ligeramente salobres,0.5607,Media,269.1712,Potable - Dura,Aceptable,27.600998,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,NO3,",SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
-110.054722,23.824722,332.605,Alta,1703.0,Permisible para riego,1017.8,Cultivos con manejo especial,Ligeramente salobres,0.5088,Media,559.0214,Muy dura e indeseable usos industrial y domestico,Contaminada,0.143061,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Puede afectar la salud,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,AS,MN,FE,",SI,SI,SI,SI,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,NO
-109.95891999999999,23.97374,103.23,Media,5167.0,Indeseable para riego,3311.0,Cultivos tolerantes,Salobres,0.2636,Baja,744.0356,Muy dura e indeseable usos industrial y domestico,Buena calidad,0.853692,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,AS,",SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,SI,SI,SI,SI
-110.0611,23.80554,240.89,Alta,1369.0,Permisible para riego,811.6,Cultivos sensibles,Potable - Dulce,0.4125,Media,415.7846,Potable - Dura,Aceptable,0.211852,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
-110.11185,23.74221,380.12,Alta,1536.0,Permisible para riego,999.8,Cultivos sensibles,Potable - Dulce,0.3513,Baja,527.7972,Muy dura e indeseable usos industrial y domestico,Contaminada,0.877601,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,No apta como FAAP,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CF,PB,FE,",SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO
-111.92221,25.5047,251.97,Alta,12830.0,Indeseable para riego,9503.667,Indeseable para riego,Salobres,0.4142,Media,3426.24,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,9.579012,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-111.50755,26.244659999999996,221.19,Alta,3100.0,Indeseable para riego,1471.2,Cultivos con manejo especial,Ligeramente salobres,0.8969,Potable - Optima,352.2976,Potable - Dura,Aceptable,5.677573,Potable - Buena calidad,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,AS,FE,",SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO
-111.54893999999999,26.301759999999998,205.86,Alta,2363.0,Dudosa para riego,1158.0,Cultivos con manejo especial,Ligeramente salobres,0.3557,Baja,362.1936,Potable - Dura,Potable - Excelente,6.520263,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,",SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
-112.05318999999999,26.856609999999996,208.05,Alta,1376.0,Permisible para riego,720.8,Cultivos sensibles,Potable - Dulce,0.2572,Baja,313.1522,Potable - Dura,Contaminada,7.535822,Potable - Buena calidad,Apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,",SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO
-112.762754,27.3359,378.0,Alta,642.0,Buena para riego,748.0,Cultivos sensibles,Potable - Dulce,0.3102,Baja,341.7525,Potable - Dura,Aceptable,4.060667,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Amarillo,"FE,",SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO
-113.44771999999999,27.62943,135.0,Media,1436.0,Permisible para riego,1812.0,Cultivos con manejo especial,Ligeramente salobres,0.2943,Baja,797.9758,Muy dura e indeseable usos industrial y domestico,Buena calidad,13.83286,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"DT,NO3,",SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
-113.3826,27.5469,187.0,Alta,1192.0,Permisible para riego,1712.0,Cultivos con manejo especial,Ligeramente salobres,0.272,Baja,625.8848,Muy dura e indeseable usos industrial y domestico,Buena calidad,10.400343,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"DT,CR,FE,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,NO
-113.2982,27.4703,172.0,Alta,802.0,Permisible para riego,988.0,Cultivos sensibles,Potable - Dulce,0.3116,Baja,437.1921,Potable - Dura,Potable - Excelente,19.438807,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
-109.897306,22.902244,111.605,Media,951.0,Permisible para riego,500.8,Cultivos sensibles,Potable - Dulce,0.2671,Baja,166.4544,Potable - Dura,Contaminada,13.644042,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"CF,FE,NO3,",SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,NO
-110.33358999999999,24.081220000000002,162.06,Alta,4960.0,Indeseable para riego,3299.0,Cultivos tolerantes,Salobres,<0.2,Baja,1541.785,Muy dura e indeseable usos industrial y domestico,Contaminada,6.361578,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,CF,FE,",SI,NO,NO,NO,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO
-110.30773,24.08008,208.68,Alta,2860.0,Dudosa para riego,27215.8,Indeseable para riego,Salinas,0.3848,Baja,672.4172,Muy dura e indeseable usos industrial y domestico,Buena calidad,5.869769,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,FE,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO
-110.31538,24.05496,170.94,Alta,2004.0,Dudosa para riego,1433.8,Cultivos con manejo especial,Ligeramente salobres,0.2781,Baja,606.767,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,7.321045,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-110.31963,24.04636,138.75,Media,2105.0,Dudosa para riego,1780.0,Cultivos con manejo especial,Ligeramente salobres,<0.2,Baja,616.714,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,7.406388,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-110.37261000000001,24.053420000000003,168.72,Alta,3690.0,Indeseable para riego,2421.2,Cultivos tolerantes,Salobres,<0.2,Baja,1145.4,Muy dura e indeseable usos industrial y domestico,Contaminada,18.525663,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,CF,NO3,",SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI
-109.92618999999999,23.965889999999998,66.6,Baja,3380.0,Indeseable para riego,2884.6,Cultivos tolerantes,Salobres,<0.2,Baja,835.548,Muy dura e indeseable usos industrial y domestico,Aceptable,9.016116,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-109.90588000000001,23.96004,144.3,Media,4920.0,Indeseable para riego,3160.8,Cultivos tolerantes,Salobres,0.2229,Baja,1310.73,Muy dura e indeseable usos industrial y domestico,Buena calidad,21.157154,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Sin efectos en la salud - Puede dar color al agua,Rojo,"CONDUC,SDT_ra,SDT_salin,DT,FE,NO3,",SI,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,NO
-109.89282,23.961270000000003,229.77,Alta,3380.0,Indeseable para riego,1861.0,Cultivos con manejo especial,Ligeramente salobres,0.8119,Potable - Optima,616.714,Muy dura e indeseable usos industrial y domestico,Contaminada,3.106493,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,DT,CF,",SI,NO,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI
-109.96126000000001,23.945439999999998,127.65,Media,748.0,Buena para riego,258.3333,Excelente para riego,Potable - Dulce,0.4462,Media,75.696,Potable - Moderadamente suave,Potable - Excelente,0.834827,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
-109.697542,23.06715,202.02,Alta,1469.0,Permisible para riego,682.8,Cultivos sensibles,Potable - Dulce,2.2275,Alta,184.0656,Potable - Dura,Fuertemente contaminada,2.146111,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"FLUO,CF,",SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI
-91.04672,18.1868,316.11,Alta,2119.0,Dudosa para riego,1408.0,Cultivos con manejo especial,Ligeramente salobres,0.9497,Potable - Optima,747.99,Muy dura e indeseable usos industrial y domestico,Buena calidad,0.526,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,DT,",SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.55914,19.74566,145.16,Media,3404.0,Indeseable para riego,2386.0,Cultivos tolerantes,Salobres,0.2482,Baja,777.89,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,5.4536,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"CONDUC,SDT_ra,SDT_salin,DT,",SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
-90.49801,19.77364,199.5,Alta,1591.0,Permisible para riego,1054.0,Cultivos con manejo especial,Ligeramente salobres,0.2655,Baja,729.83,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,3.0816,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
